Date,Close,High,Low,Open,Volume,Adj Close,ticker,return,log_ret,SMA_10,SMA_50,trend_strength,volatility,atr,high_N,low_N
2025-01-31,234.93743896484375,246.07705979363328,232.38896748106293,246.07705979363328,100959800,234.93743896484375,AAPL,-0.006692131500525944,-0.006714624218182284,229.3586639404297,239.14639739990236,-0.04166102049378902,0.01928112117286804,6.913725453712266,247.97845273823052,218.39227174297113
2025-02-03,226.98341369628906,230.78622201033428,224.68381655532258,228.9545099800506,73063300,226.98341369628906,AAPL,-0.03385592906605628,-0.03444231413657978,229.1625534057617,239.14619842529297,-0.04398402886340269,0.019859026634641716,7.139134079243182,246.21642284830082,218.39227174297113
2025-02-04,231.75184631347656,232.08036234711574,225.62952690670866,226.2268315478868,45067300,231.75184631347656,AAPL,0.021007846077986114,0.02079022385230215,230.17397918701172,239.23619140625,-0.03910308531902853,0.020581767787161268,7.340368014552772,246.21642284830082,218.39227174297113
2025-02-05,231.42333984375,231.62243633567465,227.24225275297744,227.50107667347064,39620300,231.42333984375,AAPL,-0.0014174923520661187,-0.0014184979447424899,231.03409118652343,239.30527923583983,-0.035740509383802264,0.02047601907957795,7.2585943677135925,246.07705979363328,218.39227174297113
2025-02-06,232.16995239257812,232.74734282564026,229.39250557129796,230.24863411824003,29925300,232.16995239257812,AAPL,0.003226176535747083,0.0032209835941272038,231.98578643798828,239.39885559082032,-0.031929494219377776,0.020405817900738824,6.788578304632092,246.07705979363328,218.39227174297113
2025-02-07,226.60513305664062,232.946448173879,226.236788599926,231.55275755143822,39707200,226.60513305664062,AAPL,-0.02396873186469839,-0.024260656058344453,232.468603515625,239.3542575073242,-0.030386134236324254,0.020978816972860557,6.981280318879873,246.07705979363328,218.39227174297113
2025-02-10,226.8741912841797,229.80417456619486,226.42572786906877,228.7876615470872,33115600,226.8741912841797,AAPL,0.001187343922486539,0.001186639587161788,232.2735137939453,239.2553109741211,-0.030773871371867417,0.020390246134614067,6.4688659901033345,246.07705979363328,218.39227174297113
2025-02-11,231.8272705078125,234.42837673351212,227.3525813044295,227.42233485023965,53718400,231.8272705078125,AAPL,0.021831831975231752,0.021596930272569727,231.73751525878907,239.21182312011717,-0.03224084830467008,0.020938313254507093,6.700557362086092,246.07705979363328,218.39227174297113
2025-02-12,236.06277465820312,236.15247950770552,229.89386689621963,230.41209906543347,45243300,236.06277465820312,AAPL,0.018270085918334233,0.01810519327212046,231.51556243896485,239.25563385009767,-0.032788191286575015,0.021304104290208035,6.811265444437601,246.07705979363328,218.39227174297113
2025-02-13,240.7069091796875,241.5141464162941,234.76722827404518,236.10265815205582,53614100,240.7069091796875,AAPL,0.01967330312120863,0.019482284934405184,231.9342269897461,239.34454315185548,-0.030785639628555853,0.021303988311960818,6.99311665160401,246.07705979363328,218.39227174297113
2025-02-14,243.7664337158203,244.71319316935814,240.1687356269457,240.4278440984732,40896200,243.7664337158203,AAPL,0.01271058045886364,0.012630479073681916,232.81712646484374,239.4496466064453,-0.02720850463494767,0.01898606854191594,6.651448680613446,246.07705979363328,218.39227174297113
2025-02-18,243.6368865966797,244.34445851454996,241.01584434943877,243.31796980618805,48822500,243.6368865966797,AAPL,-0.0005314395307257636,-0.0005315807947642526,234.48247375488282,239.49123474121095,-0.02055830320397957,0.01898212955980944,6.154672145923164,246.07705979363328,218.39227174297113
2025-02-19,244.03550720214844,245.17162160901916,242.33134319523683,243.8262313730556,32204200,244.03550720214844,AAPL,0.0016361258388950528,0.0016347888431449042,235.71083984375,239.53362731933595,-0.015664882210846977,0.017055194100386105,5.941572964357876,246.07705979363328,218.80040121474653
2025-02-20,244.99224853515625,245.93900803040836,243.45748811790233,244.10528213544586,32316900,244.99224853515625,AAPL,0.00392050052050541,0.003912835385917536,237.06773071289064,239.59455810546876,-0.010313907512120853,0.017055878002903323,5.864262391807023,246.07705979363328,220.4131353788753
2025-02-21,244.71319580078125,247.84249441981407,244.38431857946645,245.11182656230832,53197400,244.71319580078125,AAPL,-0.0011390267898004902,-0.0011396759738199111,238.32205505371093,239.65388946533204,-0.0054424298912975275,0.01706253955858597,5.133554072362543,247.84249441981407,220.4131353788753
2025-02-24,246.25791931152344,248.01191597096326,243.58704451830639,244.0953010258401,51326400,246.25791931152344,AAPL,0.006312383382871323,0.006292543737412716,240.2873336791992,239.66626739501953,0.0025220154783895873,0.01694200724128292,4.7172147183008075,248.01191597096326,222.9715575076631
2025-02-25,246.1981201171875,249.14803959700342,244.0753891604379,247.15485528022737,48013300,246.1981201171875,AAPL,-0.0002428315584860341,-0.0002428610468428315,242.2197265625,239.65714080810548,0.01040863249960949,0.01582018809952522,4.618772932312124,249.14803959700342,224.68381655532258
2025-02-26,239.54087829589844,244.14512894194456,238.31507426807877,243.49735015822236,44433600,239.54087829589844,AAPL,-0.027040181371491778,-0.027412494022429096,242.9910873413086,239.54035400390626,0.014405613613638594,0.015357796739950148,4.859733810069953,249.14803959700342,224.68381655532258
